creation_time,insertday,inserthour,tablename,source,count_split,count_filter,count_parsed,count_errors,count_rows,count_df_initial,count_df_enriched,count_df_distinct,year,month,day,hour
2024-09-01 01:17:44.659,20240901,00,ODI_RECHARGE,/pps/recharge_87,4,4,4,0,4,4,4,4,2024,9,1,0
2024-09-01 01:19:56.842,20240901,00,ODI_RECHARGE,/pps/recharge_84,233,233,233,0,233,233,233,233,2024,9,1,0
2024-09-01 01:42:21.93,20240901,00,ODI_POSTPAID_VOICE,/bscs/postpaid_voice,95782,0,95782,0,95782,95782,95782,95782,2024,9,1,0
2024-09-01 01:17:43.401,20240901,00,ODI_RECHARGE,/pps/recharge_89,1180,1180,1180,0,1180,1180,1180,1180,2024,9,1,0
2024-09-01 01:17:17.056,20240901,00,ODI_RECHARGE,/pps/recharge_811,13,13,13,0,13,13,13,13,2024,9,1,0
2024-09-01 01:42:05.517,20240901,00,ODI_SMS_OUT,/bscs/sms_out,10336,0,10336,0,10336,10336,10336,8439,2024,9,1,0
2024-09-01 01:17:28.443,20240901,00,ODI_RECHARGE,/pps/recharge_82,352,352,352,0,352,352,352,352,2024,9,1,0
2024-09-01 01:12:34.798,20240901,00,ODI_DATA,/pps/data,3997786,3997786,3997786,0,3997786,3997786,3708388,3708388,2024,9,1,0
2024-09-01 01:17:56.778,20240901,00,ODI_RECHARGE,/pps/recharge_86,443,443,443,0,443,443,443,443,2024,9,1,0
2024-09-01 01:18:04.503,20240901,00,ODI_RECHARGE,/pps/recharge_85,2871,2871,2871,0,2871,2871,2871,2871,2024,9,1,0
2024-09-01 01:17:18.863,20240901,00,ODI_RECHARGE,/pps/recharge_81,30899,30899,30899,0,30899,30899,30899,30899,2024,9,1,0
2024-09-01 01:43:54.067,20240901,00,ODI_DATA,/bscs/postpaid_data,559391,0,559391,0,559391,559391,559391,559391,2024,9,1,0
2024-09-01 01:52:13.318,20240901,00,CEM_NEWCUST,/otarie/NewCust,6433572,0,6432610,0,6432610,6432610,6432610,6432610,2024,9,1,0
2024-09-01 01:20:58.889,20240901,00,ODI_RECHARGE,/pps/recharge_83,5217,5217,5217,0,5217,5217,5217,5217,2024,9,1,0
2024-09-01 01:41:54.309,20240901,00,ODI_ROAMING_OUT,/bscs/roaming_out,201,0,201,0,201,201,201,201,2024,9,1,0
2024-09-01 01:11:00.528,20240901,00,ODI_SMS_OUT,/pps/sms,18602,18602,18602,0,18602,18602,18608,18159,2024,9,1,0
2024-09-01 01:11:32.682,20240901,00,ODI_PREPAID_VOICE,/pps/voice,560084,560084,560084,0,560084,560084,560084,560076,2024,9,1,0
2024-09-01 02:17:15.768,20240901,01,ODI_RECHARGE,/pps/recharge_81,18108,18108,18108,0,18108,18108,18108,18108,2024,9,1,1
2024-09-01 02:17:54.381,20240901,01,ODI_RECHARGE,/pps/recharge_86,241,241,241,0,241,241,241,241,2024,9,1,1
2024-09-01 02:17:10.463,20240901,01,ODI_RECHARGE,/pps/recharge_811,4,4,4,0,4,4,4,4,2024,9,1,1
2024-09-01 02:20:57.561,20240901,01,ODI_RECHARGE,/pps/recharge_83,2188,2188,2188,0,2188,2188,2188,2188,2024,9,1,1
2024-09-01 02:17:17.73,20240901,01,ODI_RECHARGE,/pps/recharge_82,196,196,196,0,196,196,196,196,2024,9,1,1
2024-09-01 02:11:37.142,20240901,01,ODI_DATA,/pps/data,1883165,1883165,1883165,0,1883165,1883165,1785509,1785509,2024,9,1,1
2024-09-01 03:05:27.299,20240901,01,CEM_NEWCUST,/otarie/NewCust,195815305,0,195786445,0,195786445,195786445,195786445,195786445,2024,9,1,1
2024-09-01 02:43:00.433,20240901,01,ODI_POSTPAID_VOICE,/bscs/postpaid_voice,194127,0,194127,0,194127,194127,194127,194127,2024,9,1,1
2024-09-01 02:11:21.056,20240901,01,ODI_SMS_OUT,/pps/sms,13924,13924,13924,0,13924,13924,13927,13600,2024,9,1,1
