insertdate,source,tablename,nb_lines_collected,nb_lines_filtered,nb_lines_enriched,nb_lines_ingested_hive,nb_events_hive
2024-10-21T10:00:00Z,Source_A,Table_1,5000,4500,4000,3800,50
2024-10-21T10:01:00Z,Source_B,Table_2,3000,2900,2500,2400,30
2024-10-21T10:02:00Z,Source_C,Table_3,6000,5800,5600,5400,45
2024-10-29T15:41:49.106591Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:42:49.121440Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:45:17.440344Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:46:17.442166Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:47:17.445919Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:48:17.447018Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:49:17.450738Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:50:17.452159Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:51:17.453441Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:52:17.454810Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:53:17.456119Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:54:17.460827Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:55:17.521442Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:56:17.524779Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:57:17.526700Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:58:17.529562Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T15:59:17.530700Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:00:17.531940Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:01:17.539211Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:02:17.551427Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:03:17.554434Z,Source_D,Table_4,7000,6500,6300,6200,55
2024-10-29T16:04:17.555144Z,Source_D,Table_4,7000,6500,6300,6200,55
